uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
722ed5becbca11eebb0628c2dd2980ba,12,12-1,12-1-2,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-03 17:11:58+00:00
722ed5becbca11eebb0628c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Xiangling,Bennett,Chevreuse,2024-02-03 17:13:25+00:00
722ed5becbca11eebb0628c2dd2980ba,12,12-2,12-2-2,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-03 17:14:28+00:00
722ed5becbca11eebb0628c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Xiangling,Bennett,Chevreuse,2024-02-03 17:15:40+00:00
722ed5becbca11eebb0628c2dd2980ba,12,12-3,12-3-2,Hu Tao,Xingqiu,Yelan,Zhongli,2024-02-03 17:16:48+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,11,11-1,11-1-1,Cyno,Nahida,Fischl,Sangonomiya Kokomi,2024-02-01 19:20:07+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,11,11-1,11-1-2,Wanderer,Furina,Candace,Jean,2024-02-01 19:21:12+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,11,11-2,11-2-1,Cyno,Nahida,Fischl,Sangonomiya Kokomi,2024-02-01 19:21:44+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,11,11-2,11-2-2,Wanderer,Furina,Candace,Jean,2024-02-01 19:23:01+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,11,11-3,11-3-1,Cyno,Nahida,Fischl,Sangonomiya Kokomi,2024-02-01 19:23:35+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,11,11-3,11-3-2,Wanderer,Furina,Candace,Jean,2024-02-01 19:24:31+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,12,12-1,12-1-1,Lyney,Kaedehara Kazuha,Dehya,Bennett,2024-02-14 15:26:01+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,12,12-1,12-1-2,Navia,Fischl,Albedo,Sangonomiya Kokomi,2024-02-14 15:27:52+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,12,12-2,12-2-1,Lyney,Kaedehara Kazuha,Dehya,Bennett,2024-02-14 15:35:28+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,12,12-2,12-2-2,Navia,Fischl,Albedo,Sangonomiya Kokomi,2024-02-14 15:36:50+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,12,12-3,12-3-1,Lyney,Kaedehara Kazuha,Dehya,Bennett,2024-02-14 15:38:43+00:00
722ed5bfcbca11eeb63e28c2dd2980ba,12,12-3,12-3-2,Navia,Fischl,Albedo,Sangonomiya Kokomi,2024-02-14 15:40:03+00:00
722ed5c0cbca11ee941f28c2dd2980ba,11,11-1,11-1-1,Tighnari,Furina,Traveler,Kuki Shinobu,2024-02-14 04:47:31+00:00
722ed5c0cbca11ee941f28c2dd2980ba,11,11-1,11-1-2,Kaedehara Kazuha,Bennett,Chongyun,Xianyun,2024-02-14 04:48:18+00:00
722ed5c0cbca11ee941f28c2dd2980ba,11,11-2,11-2-1,Tighnari,Furina,Traveler,Kuki Shinobu,2024-02-14 04:48:44+00:00
722ed5c0cbca11ee941f28c2dd2980ba,11,11-2,11-2-2,Kaedehara Kazuha,Bennett,Chongyun,Xianyun,2024-02-14 04:49:33+00:00
722ed5c0cbca11ee941f28c2dd2980ba,11,11-3,11-3-1,Tighnari,Furina,Traveler,Kuki Shinobu,2024-02-14 04:50:08+00:00
722ed5c0cbca11ee941f28c2dd2980ba,11,11-3,11-3-2,Kaedehara Kazuha,Bennett,Chongyun,Xianyun,2024-02-14 04:50:39+00:00
722ed5c0cbca11ee941f28c2dd2980ba,12,12-1,12-1-1,Wanderer,Faruzan,Yun Jin,Diona,2024-02-14 04:54:27+00:00
722ed5c0cbca11ee941f28c2dd2980ba,12,12-1,12-1-2,Lyney,Zhongli,Furina,Bennett,2024-02-14 04:55:38+00:00
722ed5c0cbca11ee941f28c2dd2980ba,12,12-2,12-2-1,Wanderer,Faruzan,Yun Jin,Diona,2024-02-14 04:59:18+00:00
722ed5c0cbca11ee941f28c2dd2980ba,12,12-2,12-2-2,Lyney,Zhongli,Furina,Bennett,2024-02-14 05:00:26+00:00
722ed5c0cbca11ee941f28c2dd2980ba,12,12-3,12-3-1,Wanderer,Faruzan,Yun Jin,Diona,2024-02-14 05:02:21+00:00
722ed5c0cbca11ee941f28c2dd2980ba,12,12-3,12-3-2,Lyney,Zhongli,Furina,Bennett,2024-02-14 05:03:06+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,11,11-1,11-1-1,Kaedehara Kazuha,Bennett,Furina,Neuvillette,2024-02-02 03:02:06+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,11,11-1,11-1-2,Nahida,Sucrose,Kuki Shinobu,Xiangling,2024-02-02 03:02:39+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,11,11-2,11-2-1,Kaedehara Kazuha,Bennett,Furina,Neuvillette,2024-02-02 03:03:04+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,11,11-2,11-2-2,Nahida,Sucrose,Kuki Shinobu,Xiangling,2024-02-02 03:03:46+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,11,11-3,11-3-1,Kaedehara Kazuha,Bennett,Furina,Neuvillette,2024-02-02 03:04:36+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,11,11-3,11-3-2,Nahida,Sucrose,Kuki Shinobu,Xiangling,2024-02-02 03:05:12+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,12,12-1,12-1-1,Kaedehara Kazuha,Zhongli,Mona,Neuvillette,2024-02-06 19:45:47+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,12,12-1,12-1-2,Xianyun,Xingqiu,Furina,Hu Tao,2024-02-06 19:46:40+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,12,12-2,12-2-1,Kaedehara Kazuha,Zhongli,Mona,Neuvillette,2024-02-06 19:47:40+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,12,12-2,12-2-2,Xianyun,Xingqiu,Furina,Hu Tao,2024-02-06 19:48:30+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,12,12-3,12-3-1,Kaedehara Kazuha,Zhongli,Mona,Neuvillette,2024-02-06 19:50:00+00:00
722ed5c1cbca11ee97ec28c2dd2980ba,12,12-3,12-3-2,Xianyun,Xingqiu,Furina,Hu Tao,2024-02-06 19:50:43+00:00
722ed5c2cbca11ee850f28c2dd2980ba,11,11-1,11-1-1,Diluc,Furina,Xianyun,Bennett,2024-02-04 21:33:45+00:00
722ed5c2cbca11ee850f28c2dd2980ba,11,11-1,11-1-2,Raiden Shogun,Kujou Sara,Kaedehara Kazuha,Zhongli,2024-02-04 21:34:27+00:00
722ed5c2cbca11ee850f28c2dd2980ba,11,11-2,11-2-1,Diluc,Furina,Xianyun,Bennett,2024-02-04 21:34:58+00:00
722ed5c2cbca11ee850f28c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Kujou Sara,Kaedehara Kazuha,Zhongli,2024-02-04 21:36:19+00:00
722ed5c2cbca11ee850f28c2dd2980ba,11,11-3,11-3-1,Diluc,Furina,Xianyun,Bennett,2024-02-04 21:37:01+00:00
722ed5c2cbca11ee850f28c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Kujou Sara,Kaedehara Kazuha,Zhongli,2024-02-04 21:37:44+00:00
722ed5c2cbca11ee850f28c2dd2980ba,12,12-1,12-1-1,Xiao,Furina,Faruzan,Xianyun,2024-02-04 21:40:03+00:00
722ed5c2cbca11ee850f28c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Kujou Sara,Kaedehara Kazuha,Bennett,2024-02-04 21:41:07+00:00
722ed5c2cbca11ee850f28c2dd2980ba,12,12-2,12-2-1,Xiao,Furina,Faruzan,Xianyun,2024-02-04 21:42:21+00:00
722ed5c2cbca11ee850f28c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Kujou Sara,Kaedehara Kazuha,Bennett,2024-02-04 21:43:13+00:00
722ed5c2cbca11ee850f28c2dd2980ba,12,12-3,12-3-1,Xiao,Furina,Faruzan,Xianyun,2024-02-04 21:45:30+00:00
722ed5c2cbca11ee850f28c2dd2980ba,12,12-3,12-3-2,Raiden Shogun,Kujou Sara,Kaedehara Kazuha,Bennett,2024-02-04 21:46:27+00:00
722ed5c3cbca11ee800c28c2dd2980ba,11,11-1,11-1-1,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-02 16:42:47+00:00
722ed5c3cbca11ee800c28c2dd2980ba,11,11-1,11-1-2,Yae Miko,Nahida,Baizhu,Fischl,2024-02-02 16:43:19+00:00
722ed5c3cbca11ee800c28c2dd2980ba,11,11-2,11-2-1,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-02 16:43:55+00:00
722ed5c3cbca11ee800c28c2dd2980ba,11,11-2,11-2-2,Yae Miko,Nahida,Baizhu,Fischl,2024-02-02 16:44:41+00:00
722ed5c3cbca11ee800c28c2dd2980ba,11,11-3,11-3-1,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-02 16:45:24+00:00
722ed5c3cbca11ee800c28c2dd2980ba,11,11-3,11-3-2,Yae Miko,Nahida,Baizhu,Fischl,2024-02-02 16:45:52+00:00
722ed5c3cbca11ee800c28c2dd2980ba,12,12-1,12-1-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-02 16:48:31+00:00
722ed5c3cbca11ee800c28c2dd2980ba,12,12-1,12-1-2,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-02 16:49:52+00:00
722ed5c3cbca11ee800c28c2dd2980ba,12,12-2,12-2-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-02 16:52:14+00:00
722ed5c3cbca11ee800c28c2dd2980ba,12,12-2,12-2-2,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-02 16:53:16+00:00
722ed5c3cbca11ee800c28c2dd2980ba,12,12-3,12-3-1,Yae Miko,Nahida,Baizhu,Fischl,2024-02-02 16:54:24+00:00
722ed5c3cbca11ee800c28c2dd2980ba,12,12-3,12-3-2,Sangonomiya Kokomi,Furina,Yelan,Kaedehara Kazuha,2024-02-02 16:55:18+00:00
722ed5c4cbca11eeadc328c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Xingqiu,Bennett,Xiangling,2024-02-13 22:41:08+00:00
722ed5c4cbca11eeadc328c2dd2980ba,11,11-1,11-1-2,Yae Miko,Nahida,Furina,Yoimiya,2024-02-13 22:42:02+00:00
722ed5c4cbca11eeadc328c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Xingqiu,Bennett,Xiangling,2024-02-13 22:42:40+00:00
722ed5c4cbca11eeadc328c2dd2980ba,11,11-2,11-2-2,Yae Miko,Nahida,Furina,Yoimiya,2024-02-13 22:43:57+00:00
722ed5c4cbca11eeadc328c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Xingqiu,Bennett,Xiangling,2024-02-13 22:44:49+00:00
722ed5c4cbca11eeadc328c2dd2980ba,11,11-3,11-3-2,Yae Miko,Nahida,Furina,Yoimiya,2024-02-13 22:45:29+00:00
722ed5c4cbca11eeadc328c2dd2980ba,12,12-1,12-1-1,Furina,Nahida,Kuki Shinobu,Sangonomiya Kokomi,2024-02-13 22:49:43+00:00
722ed5c4cbca11eeadc328c2dd2980ba,12,12-1,12-1-2,Yelan,Yoimiya,Bennett,Xingqiu,2024-02-13 22:50:53+00:00
722ed5c4cbca11eeadc328c2dd2980ba,12,12-2,12-2-1,Furina,Nahida,Kuki Shinobu,Sangonomiya Kokomi,2024-02-13 22:52:09+00:00
722ed5c4cbca11eeadc328c2dd2980ba,12,12-2,12-2-2,Yelan,Yoimiya,Bennett,Xingqiu,2024-02-13 22:53:08+00:00
722ed5c4cbca11eeadc328c2dd2980ba,12,12-3,12-3-1,Furina,Nahida,Kuki Shinobu,Sangonomiya Kokomi,2024-02-13 22:56:17+00:00
722ed5c4cbca11eeadc328c2dd2980ba,12,12-3,12-3-2,Yelan,Yoimiya,Bennett,Xingqiu,2024-02-13 22:57:06+00:00
722ed5c5cbca11eeac9828c2dd2980ba,11,11-1,11-1-1,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-02 05:34:11+00:00
722ed5c5cbca11eeac9828c2dd2980ba,11,11-1,11-1-2,Raiden Shogun,Furina,Venti,Jean,2024-02-02 05:34:59+00:00
722ed5c5cbca11eeac9828c2dd2980ba,11,11-2,11-2-1,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-02 05:35:21+00:00
722ed5c5cbca11eeac9828c2dd2980ba,11,11-2,11-2-2,Raiden Shogun,Furina,Venti,Jean,2024-02-02 05:36:12+00:00
722ed5c5cbca11eeac9828c2dd2980ba,11,11-3,11-3-1,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-02 05:36:49+00:00
722ed5c5cbca11eeac9828c2dd2980ba,11,11-3,11-3-2,Raiden Shogun,Furina,Venti,Jean,2024-02-02 05:37:27+00:00
722ed5c5cbca11eeac9828c2dd2980ba,12,12-1,12-1-1,Eula,Raiden Shogun,Kaedehara Kazuha,Bennett,2024-02-02 05:39:09+00:00
722ed5c5cbca11eeac9828c2dd2980ba,12,12-1,12-1-2,Hu Tao,Yelan,Furina,Jean,2024-02-02 05:40:33+00:00
722ed5c5cbca11eeac9828c2dd2980ba,12,12-2,12-2-1,Eula,Raiden Shogun,Kaedehara Kazuha,Bennett,2024-02-02 05:41:55+00:00
722ed5c5cbca11eeac9828c2dd2980ba,12,12-2,12-2-2,Hu Tao,Yelan,Furina,Jean,2024-02-02 05:43:19+00:00
722ed5c5cbca11eeac9828c2dd2980ba,12,12-3,12-3-1,Eula,Raiden Shogun,Kaedehara Kazuha,Bennett,2024-02-02 05:44:32+00:00
722ed5c5cbca11eeac9828c2dd2980ba,12,12-3,12-3-2,Hu Tao,Yelan,Furina,Jean,2024-02-02 05:45:37+00:00
722ed5c6cbca11eea4c128c2dd2980ba,11,11-1,11-1-1,Xiao,Furina,Faruzan,Xianyun,2024-02-13 05:46:35+00:00
722ed5c6cbca11eea4c128c2dd2980ba,11,11-1,11-1-2,Xingqiu,Kaedehara Kazuha,Xiangling,Bennett,2024-02-13 05:47:30+00:00
722ed5c6cbca11eea4c128c2dd2980ba,11,11-2,11-2-1,Xiao,Furina,Faruzan,Xianyun,2024-02-13 05:48:09+00:00
722ed5c6cbca11eea4c128c2dd2980ba,11,11-2,11-2-2,Xingqiu,Kaedehara Kazuha,Xiangling,Bennett,2024-02-13 05:49:17+00:00
722ed5c6cbca11eea4c128c2dd2980ba,11,11-3,11-3-1,Xiao,Furina,Faruzan,Xianyun,2024-02-13 05:50:01+00:00
722ed5c6cbca11eea4c128c2dd2980ba,11,11-3,11-3-2,Xingqiu,Kaedehara Kazuha,Xiangling,Bennett,2024-02-13 05:50:51+00:00
722ed5c6cbca11eea4c128c2dd2980ba,12,12-1,12-1-1,Xiao,Furina,Faruzan,Xianyun,2024-02-13 06:28:18+00:00
722ed5c6cbca11eea4c128c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Xingqiu,Yelan,Nahida,2024-02-13 06:29:50+00:00
722ed5c6cbca11eea4c128c2dd2980ba,12,12-2,12-2-1,Xiao,Furina,Faruzan,Xianyun,2024-02-13 06:40:12+00:00
722ed5c6cbca11eea4c128c2dd2980ba,12,12-2,12-2-2,Raiden Shogun,Xingqiu,Yelan,Nahida,2024-02-13 06:41:29+00:00
722ed5c6cbca11eea4c128c2dd2980ba,12,12-3,12-3-1,Xiao,Furina,Faruzan,Xianyun,2024-02-13 06:21:14+00:00
722ed5c6cbca11eea4c128c2dd2980ba,12,12-3,12-3-2,Tighnari,Yae Miko,Zhongli,Nahida,2024-02-13 06:22:47+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,11,11-1,11-1-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett,2024-02-05 15:07:48+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,11,11-1,11-1-2,Noelle,Yun Jin,Ningguang,Mona,2024-02-05 15:08:49+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,11,11-2,11-2-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett,2024-02-05 15:23:00+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,11,11-2,11-2-2,Noelle,Yun Jin,Ningguang,Mona,2024-02-05 15:24:32+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,11,11-3,11-3-1,Dehya,Xiangling,Kaedehara Kazuha,Bennett,2024-02-05 15:40:56+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,11,11-3,11-3-2,Noelle,Yun Jin,Ningguang,Mona,2024-02-05 15:41:45+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-08 03:24:11+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,12,12-1,12-1-2,Yoimiya,Yun Jin,Yelan,Thoma,2024-02-08 03:25:37+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-08 03:33:36+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,12,12-2,12-2-2,Yoimiya,Yun Jin,Yelan,Thoma,2024-02-08 03:34:55+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Eula,Kujou Sara,Jean,2024-02-08 03:37:24+00:00
722ed5c7cbca11ee9daf28c2dd2980ba,12,12-3,12-3-2,Yoimiya,Yun Jin,Yelan,Thoma,2024-02-08 03:38:42+00:00
722ed5c8cbca11eeb04128c2dd2980ba,11,11-1,11-1-1,Ganyu,Kaedehara Kazuha,Kamisato Ayaka,Sangonomiya Kokomi,2024-02-02 01:45:06+00:00
722ed5c8cbca11eeb04128c2dd2980ba,11,11-1,11-1-2,Alhaitham,Nahida,Fischl,Kuki Shinobu,2024-02-02 01:45:57+00:00
722ed5c8cbca11eeb04128c2dd2980ba,11,11-2,11-2-1,Ganyu,Kaedehara Kazuha,Kamisato Ayaka,Sangonomiya Kokomi,2024-02-02 01:46:31+00:00
722ed5c8cbca11eeb04128c2dd2980ba,11,11-2,11-2-2,Alhaitham,Nahida,Fischl,Kuki Shinobu,2024-02-02 01:47:50+00:00
722ed5c8cbca11eeb04128c2dd2980ba,11,11-3,11-3-1,Ganyu,Kaedehara Kazuha,Kamisato Ayaka,Sangonomiya Kokomi,2024-02-02 01:48:40+00:00
722ed5c8cbca11eeb04128c2dd2980ba,11,11-3,11-3-2,Alhaitham,Nahida,Fischl,Kuki Shinobu,2024-02-02 01:49:24+00:00
722ed5c8cbca11eeb04128c2dd2980ba,12,12-1,12-1-1,Noelle,Furina,Gorou,Navia,2024-02-02 01:58:01+00:00
722ed5c8cbca11eeb04128c2dd2980ba,12,12-1,12-1-2,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-02 01:59:00+00:00
722ed5c8cbca11eeb04128c2dd2980ba,12,12-2,12-2-1,Noelle,Furina,Gorou,Navia,2024-02-02 02:00:27+00:00
722ed5c8cbca11eeb04128c2dd2980ba,12,12-2,12-2-2,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-02 02:01:36+00:00
722ed5c8cbca11eeb04128c2dd2980ba,12,12-3,12-3-1,Noelle,Furina,Gorou,Navia,2024-02-02 02:03:31+00:00
722ed5c8cbca11eeb04128c2dd2980ba,12,12-3,12-3-2,Hu Tao,Yelan,Xingqiu,Zhongli,2024-02-02 02:04:27+00:00
722ed5c9cbca11eebe7528c2dd2980ba,11,11-1,11-1-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-10 08:38:22+00:00
722ed5c9cbca11eebe7528c2dd2980ba,11,11-1,11-1-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-10 08:39:07+00:00
722ed5c9cbca11eebe7528c2dd2980ba,11,11-2,11-2-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-10 08:39:32+00:00
722ed5c9cbca11eebe7528c2dd2980ba,11,11-2,11-2-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-10 08:40:31+00:00
722ed5c9cbca11eebe7528c2dd2980ba,11,11-3,11-3-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-10 08:41:19+00:00
722ed5c9cbca11eebe7528c2dd2980ba,11,11-3,11-3-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-10 08:41:54+00:00
722ed5c9cbca11eebe7528c2dd2980ba,12,12-1,12-1-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-10 08:44:54+00:00
722ed5c9cbca11eebe7528c2dd2980ba,12,12-1,12-1-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-10 08:46:18+00:00
722ed5c9cbca11eebe7528c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-10 08:47:51+00:00
722ed5c9cbca11eebe7528c2dd2980ba,12,12-2,12-2-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-10 08:48:38+00:00
722ed5c9cbca11eebe7528c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Bennett,Xiangling,Xingqiu,2024-02-10 08:50:46+00:00
722ed5c9cbca11eebe7528c2dd2980ba,12,12-3,12-3-2,Dehya,Nahida,Fischl,Neuvillette,2024-02-10 08:51:47+00:00
722ed5cacbca11ee85f328c2dd2980ba,11,11-1,11-1-1,Cyno,Furina,Xianyun,Nahida,2024-02-01 09:43:51+00:00
722ed5cacbca11ee85f328c2dd2980ba,11,11-1,11-1-2,Xingqiu,Xiangling,Raiden Shogun,Bennett,2024-02-01 09:44:51+00:00
722ed5cacbca11ee85f328c2dd2980ba,11,11-2,11-2-1,Cyno,Furina,Xianyun,Nahida,2024-02-01 09:45:30+00:00
722ed5cacbca11ee85f328c2dd2980ba,11,11-2,11-2-2,Xingqiu,Xiangling,Raiden Shogun,Bennett,2024-02-01 09:46:29+00:00
722ed5cacbca11ee85f328c2dd2980ba,11,11-3,11-3-1,Cyno,Furina,Xianyun,Nahida,2024-02-01 09:47:32+00:00
722ed5cacbca11ee85f328c2dd2980ba,11,11-3,11-3-2,Xingqiu,Xiangling,Raiden Shogun,Bennett,2024-02-01 09:48:11+00:00
722ed5cacbca11ee85f328c2dd2980ba,12,12-1,12-1-1,Cyno,Furina,Xianyun,Nahida,2024-02-13 13:35:09+00:00
722ed5cacbca11ee85f328c2dd2980ba,12,12-1,12-1-2,Neuvillette,Fischl,Kaedehara Kazuha,Zhongli,2024-02-13 13:36:22+00:00
722ed5cacbca11ee85f328c2dd2980ba,12,12-2,12-2-1,Cyno,Furina,Xianyun,Nahida,2024-02-13 13:38:00+00:00
722ed5cacbca11ee85f328c2dd2980ba,12,12-2,12-2-2,Neuvillette,Fischl,Kaedehara Kazuha,Zhongli,2024-02-13 13:39:10+00:00
722ed5cacbca11ee85f328c2dd2980ba,12,12-3,12-3-1,Cyno,Furina,Xianyun,Nahida,2024-02-13 13:41:14+00:00
722ed5cacbca11ee85f328c2dd2980ba,12,12-3,12-3-2,Neuvillette,Fischl,Kaedehara Kazuha,Zhongli,2024-02-13 13:42:24+00:00
722ed5cbcbca11eea06528c2dd2980ba,11,11-1,11-1-1,Neuvillette,Zhongli,Baizhu,Furina,2024-02-01 03:57:17+00:00
722ed5cbcbca11eea06528c2dd2980ba,11,11-1,11-1-2,Gaming,Kaedehara Kazuha,Xianyun,Bennett,2024-02-01 03:57:57+00:00
722ed5cbcbca11eea06528c2dd2980ba,11,11-2,11-2-1,Neuvillette,Zhongli,Baizhu,Furina,2024-02-01 03:58:27+00:00
722ed5cbcbca11eea06528c2dd2980ba,11,11-2,11-2-2,Gaming,Kaedehara Kazuha,Xianyun,Bennett,2024-02-01 03:59:33+00:00
722ed5cbcbca11eea06528c2dd2980ba,11,11-3,11-3-1,Neuvillette,Zhongli,Baizhu,Furina,2024-02-01 04:00:14+00:00
722ed5cbcbca11eea06528c2dd2980ba,11,11-3,11-3-2,Gaming,Kaedehara Kazuha,Xianyun,Bennett,2024-02-01 04:00:47+00:00
722ed5cbcbca11eea06528c2dd2980ba,12,12-1,12-1-1,Neuvillette,Kaedehara Kazuha,Charlotte,Furina,2024-02-01 04:23:07+00:00
722ed5cbcbca11eea06528c2dd2980ba,12,12-1,12-1-2,Yae Miko,Yelan,Nahida,Baizhu,2024-02-01 04:24:15+00:00
722ed5cbcbca11eea06528c2dd2980ba,12,12-2,12-2-1,Neuvillette,Kaedehara Kazuha,Charlotte,Furina,2024-02-01 04:25:37+00:00
